Codice,Nome/Localizzazione,Gruppo,Categoria,Contesto urbano,Elemento,Latitudine,Longitudine,Indirizzo,Punteggio,Livello accessibilita,Rilevanza,Non valutabile,N. foto rilievo,Criticità Rilevate,Nome Immobile,Circoscrizione,Quartiere,UPL
U_16,DIRETTORE GENERALE,Sede amministrativa/istituzionale,SERVIZI PUBBLICI – UFFICI - UFFICIO DI VERTICE AMMINISTRATIVO,,,38.1170342,13.3694741,"Piazza Marina, 46",68,Parzialmente inaccessibile,Alta,No,7,Parcheggio distante; pavimentazione scivolosa; antico portone non idoneo; ascensore non funzionante; scale con alzata eccessiva; assenza di segnaletica tattile.,DIRETTORE GENERALE,I,Tribunali-Castellammare,Tribunali o Kalsa
SU_03,MARTORANA (SANTA MARIA DELL’AMMIRAGLIO),Sito UNESCO (edificio),SERVIZI PUBBLICI – SITO UNESCO,,,38.11499301,13.36362707,"P.za Bellini, 3",80,Parzialmente inaccessibile,Alta,Si,7,Pavimentazione scivolosa; aula a quota superiore rispetto all'ingresso; spazi ridotti e assenza di percorsi tattili.,MARTORANA (SANTA MARIA DELL’AMMIRAGLIO),I,Tribunali-Castellammare,Tribunali o Kalsa
SU_02,SAN CATALDO,Sito UNESCO (edificio),SERVIZI PUBBLICI – SITO UNESCO,,,38.11493419,13.36355499,"P.za Bellini, 1",78,Parzialmente inaccessibile,Alta,Si,7,Accesso compromesso da dislivelli e scale; pavimentazione policroma non idonea; spazi ridotti e assenza di servizi igienici.,SAN CATALDO,I,Tribunali-Castellammare,Tribunali o Kalsa
M_03,ARCHIVIO STORICO COMUNALE,Museo,SERVIZI PUBBLICI – MUSEO,,,38.11391584,13.36324349,"Via Maqueda, 157",72,Parzialmente inaccessibile,Alta,No,7,,,I,Tribunali-Castellammare,Tribunali o Kalsa
M_02,GALLERIA D’ARTE MODERNA,Museo,SERVIZI PUBBLICI – MUSEO,,,38.11511098,13.36586137,"Via Sant'Anna, 21",77,Parzialmente inaccessibile,Alta,No,7,,,I,Tribunali-Castellammare,Tribunali o Kalsa
AV_23,"VILLA GIULIA, VIA LINCOLN",Area verde,AREE URBANE,AMBITO PAESAGGISTICO E MONUMENTALE,PERCORSI INTERNI,38.11412551,13.37567611,Via Lincoln,46,Parzialmente accessibile,Alta,No,10,,,I,Tribunali-Castellammare,Tribunali o Kalsa
AV_21,"GIARDINO GARIBALDI, PIAZZA MARINA",Area verde,AREE URBANE,AMBITO PAESAGGISTICO E STORICO-MONUMENTALE,PERCORSI INTERNI,38.11780242,13.36940594,Piazza Marina,44,Parzialmente accessibile,Alta,No,7,,,I,Tribunali-Castellammare,Tribunali o Kalsa
VS_06,SALITA MURA DELLE CATTIVE - VIA ALLORO - VIA QUATTRO APRILE - PIAZZA MARINA,Percorso storico,PERCORSI STORICI,VIE STORICHE INTERNE,MARCIAPIEDE,38.117391,13.3726014,,53,Parzialmente accessibile,,No,14,,,I,Tribunali-Castellammare,Tribunali o Kalsa
VS_05,VIA MAGIONE - VIA DELLA PACE - VIA DELLO SPASIMO - VIA SANTA TERESA - VIA TORREMUZZA,Percorso storico,PERCORSI STORICI,"VIE INTERNE, ALTISSIMA VALENZA STORICA",MARCIAPIEDE,38.1132707,13.3688885,,53,Parzialmente accessibile,,No,14,,,I,Tribunali-Castellammare,Tribunali o Kalsa
U_17,SERVIZI SOCIALI,Sede amministrativa/istituzionale,SERVIZI PUBBLICI – UFFICI - CENTRO DIREZIONALE E AMMINISTRATIVO,,,38.1127719,13.3671823,"Via Giuseppe Garibaldi, 26",66,Parzialmente inaccessibile,Alta,No,4,Ingresso monumentale non a norma; pavimentazione scivolosa; porte prive di maniglioni antipanico; assenza totale di percorsi sensoriali.,SERVIZI SOCIALI,I,Tribunali-Castellammare,Tribunali o Kalsa
VS_02,VIA UMBERTO I (S.S. 113),Percorso storico,PERCORSI STORICI,ASSE DI SCORRIMENTO AREA ADIACENTE IL CENTRO STORICO,MARCIAPIEDE,38.11721756,13.37369942,,42,Parzialmente accessibile,,No,15,,,I,Tribunali-Castellammare,Tribunali o Kalsa
AV_22,"FORO ITALICO, VIA UMBERTO I – S.S. 113",Area verde,AREE URBANE,AMBITO PAESAGGISTICO,PERCORSI INTERNI,38.11691724,13.37516601,Foro Italico Umberto I,45,Parzialmente accessibile,Alta,No,10,,,I,Tribunali-Castellammare,Tribunali o Kalsa
VU_04,VIA MAQUEDA,Percorso UNESCO,PERCORSI UNESCO,ASSE STORICO E COMMERCIALE PRIMARIO (PEDONALIZZATO),MARCIAPIEDE,38.1184556,13.3596687,,41,Parzialmente accessibile,Alta,No,13,,,I,Tribunali-Castellammare,Castellammare o Loggia
VS_26,VIA MAQUEDA - VIA RUGGERO SETTIMO,Percorso storico,PERCORSI STORICI,ASSE COMMERCIALE PRIMARIO,MARCIAPIEDE,38.1184556,13.3596687,,46,Parzialmente accessibile,Alta,No,17,,,I,Tribunali-Castellammare,Castellammare o Loggia
VS_25,VIA NAPOLI,Percorso storico,PERCORSI STORICI,VIA COMMERCIALE DI COLLEGAMENTO,MARCIAPIEDE,38.1176486,13.3612677,,44,Parzialmente accessibile,Alta,No,13,,,I,Tribunali-Castellammare,Castellammare o Loggia
VS_09,VIA ROMA,Percorso storico,PERCORSI STORICI,ASSE VIARIO PRINCIPALE,MARCIAPIEDE,38.1178334,13.3629551,,41,Parzialmente accessibile,,No,17,,,I,Tribunali-Castellammare,Castellammare o Loggia
VS_07,VIA PORTO SALVO - PIAZZA TARZANÀ - PIAZZA FONDERIA - VIA GIOVANNI MELI,Percorso storico,PERCORSI STORICI,VIE STORICHE,MARCIAPIEDE,38.1185485,13.3673489,,53,Parzialmente accessibile,,No,14,,,I,Tribunali-Castellammare,Castellammare o Loggia
U_14,SERVIZI MATRIMONIALI,Sede amministrativa/istituzionale,SERVIZI PUBBLICI – UFFICI - SEDE ISTITUZIONALE MONUMENTALE (PER RITI CIVILI),,,38.119288,13.3661697,Piazza Fonderia,72,Parzialmente inaccessibile,Alta,No,4,Accesso principale ostacolato da dislivelli; pavimentazione in basolato; porte pesanti e non a norma; totale assenza di percorsi tattili; servizi igienici per disabili assenti.,SERVIZI MATRIMONIALI,I,Tribunali-Castellammare,Castellammare o Loggia
U_13,SERVIZIO SOCIALE DI COMUNITÀ,Sede amministrativa/istituzionale,SERVIZI PUBBLICI – UFFICI - SERVIZIO PUBBLICO DI ASSISTENZA SOCIALE,,,38.1202509,13.3650232,"Via Fratelli Orlando, 16",71,Parzialmente inaccessibile,Alta,No,10,Parcheggi e percorsi esterni privi di segnaletica a norma; campanello e sportello informazioni inaccessibili; porte senza maniglione antipanico; bagni con maniglioni insufficienti.,SERVIZIO SOCIALE DI COMUNITÀ,I,Tribunali-Castellammare,Castellammare o Loggia
