Codice;Nome;Indirizzo;Categoria;Gruppo;Punteggio;Rilevanza
SU_01;LA ZISA;VIA GUGLIELMO IL BUONO, 1;SERVIZI PUBBLICI – SITO UNESCO;Sito UNESCO;93;ALTA
SU_02;SAN CATALDO;PIAZZA BELLINI, 2;SERVIZI PUBBLICI – SITO UNESCO;Sito UNESCO;78;ALTA
SU_03;MARTORANA (SANTA MARIA DELL’AMMIRAGLIO);PIAZZA BELLINI, 3;SERVIZI PUBBLICI – SITO UNESCO;Sito UNESCO;80;ALTA
SU_04;CATTEDRALE DI PALERMO;VIA VITTORIO EMANUELE, 490;SERVIZI PUBBLICI – SITO UNESCO;Sito UNESCO;84;ALTA
SU_05;PALAZZO REALE E CAPPELLA PALATINA;PIAZZA DEL PARLAMENTO, 1;SERVIZI PUBBLICI – SITO UNESCO;Sito UNESCO;51;ALTA
SU_06;SAN GIOVANNI DEGLI EREMITI;VIA DEI BENEDETTINI, 3;SERVIZI PUBBLICI – SITO UNESCO;Sito UNESCO;65;ALTA
SU_07;PONTE AMMIRAGLIO;CORSO DEI MILLE;SERVIZI PUBBLICI – SITO UNESCO;Sito UNESCO;44;ALTA
U_01;CIRCOSCRIZIONE VII - DIREZIONE/ORGANI ISTITUZIONALI;VIA ELEONORA DUSE, 31;SERVIZI PUBBLICI – UFFICI - UFFICIO AMMINISTRATIVO COMUNALE;Sede amministrativa/istituzionale;58;ALTA
U_02;SERVIZIO POLIZIA MUNICIPALE;VIA UGO LA MALFA, 72;SERVIZI PUBBLICI – UFFICI - COMANDO POLIZIA LOCALE / PUBBL. SICUREZZA;Sede amministrativa/istituzionale;61;ALTA
U_03;SETTORE SERVIZI ALLE IMPRESE - SUAP;VIA UGO LA MALFA, 34;SERVIZI PUBBLICI – UFFICI - SPORTELLO UNICO;Sede amministrativa/istituzionale;66;ALTA
U_04;CIMITERO S. M. DEI ROTOLI;VIA PAPA SERGIO I, 96;SERVIZI PUBBLICI – UFFICI - CIMITERO COMUNALE STATALE;Sede amministrativa/istituzionale;66;ALTA
U_05;CIRCOSCRIZIONE VI - SPORTELLO POLIFUNZIONALE;VIA MONTE SAN CALOGERO, 26/28;SERVIZI PUBBLICI – UFFICI - SPORTELLO POLIFUNZIONALE DI SERVIZI DEMOGRAFICI E AMMINISTRATIVI;Sede amministrativa/istituzionale;58;ALTA
U_06;STADIO COMUNALE R. BARBERA;VIA DEL FANTE 11;SERVIZI PUBBLICI – UFFICI - SEDE SPORTIVA PALERMO F.C.;Sede amministrativa/istituzionale;67;ALTA
U_07;POLO TECNICO;VIA AUSONIA, 69;SERVIZI PUBBLICI – UFFICI - UFFICIO TECNICO COMUNALE;Sede amministrativa/istituzionale;69;ALTA
U_08;CASA COMUNALE - UFFICIO STATALE LOCALE;VIA ANWAR SADAT, 11/13;SERVIZI PUBBLICI – UFFICI -   UFFICIO AMMINISTRATIVO COMUNALE;Sede amministrativa/istituzionale;71;ALTA
U_09;CIRCOSCRIZIONE VIII;VIA ENRICO FILETI, 19;SERVIZI PUBBLICI – UFFICI - SEDE ISTITUZIONALE E AMMINISTRATIVA CIRCOSCRIZIONALE;Sede amministrativa/istituzionale;66;ALTA
U_10;UFFICIO IGIENE E SALUTE, POLITICHE ABITATIVE E GIOVANILI;VIA MONTALBO, 249;SERVIZI PUBBLICI – UFFICI - UFFICIO DELLA PUBBLICA AMMINISTRAZIONE;Sede amministrativa/istituzionale;61;ALTA
U_11;SERVIZI EDUCATIVI;VIA NOTARBARTOLO 21/A;SERVIZI PUBBLICI – UFFICI - UFFICIO AMMINISTRATIVO COMUNALE (AREA DELL'ISTRUZIONE E FORMAZIONE);Sede amministrativa/istituzionale;68;ALTA
U_12;CIRCOSCRIZIONE V P.D. BORGONUOVO;LARGO POZZILLO, 7;SERVIZI PUBBLICI – UFFICI - UFFICIO PUBBLICO DECENTRATO / SPORTELLO POLIFUNZIONALE;Sede amministrativa/istituzionale;63;ALTA
U_13;SERVIZIO SOCIALE DI COMUNITÀ;VIA FRATELLI ORLANDO, 16;SERVIZI PUBBLICI – UFFICI - SERVIZIO PUBBLICO DI ASSISTENZA SOCIALE;Sede amministrativa/istituzionale;71;ALTA
U_14;SERVIZI MATRIMONIALI;PIAZZA FONDERIA;SERVIZI PUBBLICI – UFFICI - SEDE ISTITUZIONALE MONUMENTALE (PER RITI CIVILI);Sede amministrativa/istituzionale;72;ALTA
U_15;RAGIONERIA GENERALE;VIA ROMA, 209;SERVIZI PUBBLICI – UFFICI - UFFICIO AMMINISTRATIVO COMUNALE (AREA DELLE RISORSE FINANZIARIE);Sede amministrativa/istituzionale;65;ALTA
U_16;DIRETTORE GENERALE;PIAZZA MARINA, 46;SERVIZI PUBBLICI – UFFICI - UFFICIO DI VERTICE AMMINISTRATIVO;Sede amministrativa/istituzionale;68;ALTA
U_17;SERVIZI SOCIALI;VIA GARIBALDI, 26;SERVIZI PUBBLICI – UFFICI - CENTRO DIREZIONALE E AMMINISTRATIVO;Sede amministrativa/istituzionale;66;ALTA
U_18;UFFICIO TRIBUTI;PIAZZA GIULIO CESARE, 6;SERVIZI PUBBLICI – UFFICI - UFFICIO AMMINISTRATIVO COMUNALE (GESTIONE ENTRATE);Sede amministrativa/istituzionale;67;ALTA
U_19;UFFICIO STATO CIVILE - UFFICIO ELETTORALE – ANAGRAFE;PIAZZA GIULIO CESARE, 52;SERVIZI PUBBLICI – UFFICI - UFFICIO PUBBLICO DI SERVIZI DEMOGRAFICI;Sede amministrativa/istituzionale;65;ALTA
U_20;SERVIZI CIMITERIALI;VIA LINCOLN, 144;SERVIZI PUBBLICI – UFFICI - UFFICIO AMMINISTRATIVO E GESTIONALE;Sede amministrativa/istituzionale;73;ALTA
U_21;CIRCOSCRIZIONE IV;VIALE DELLA REGIONE SICILIANA NORD OVEST, 95;SERVIZI PUBBLICI – UFFICI - SEDE ISTITUZIONALE E AMMINISTRATIVA CIRCOSCRIZIONALE;Sede amministrativa/istituzionale;73;ALTA
U_22;CIRCOSCRIZIONE III SPORTELLO POLIFUNZIONALE;VIA LA COLLA FRANCESCO, 48;SERVIZI PUBBLICI – UFFICI - SPORTELLO POLIFUNZIONALE DI SERVIZI DEMOGRAFICI E AMMINISTRATIVI;Sede amministrativa/istituzionale;56;ALTA
U_23;CIRCOSCRIZIONE II;VIA SAN CIRO, 17;SERVIZI PUBBLICI – UFFICI - SEDE ISTITUZIONALE E AMMINISTRATIVA CIRCOSCRIZIONALE;Sede amministrativa/istituzionale;70;ALTA
U_24;CIMITERO S.M. DI GESÙ;VIA SANTA MARIA DI GESÙ;SERVIZI PUBBLICI – UFFICI - CIMITERO COMUNALE STATALE;Sede amministrativa/istituzionale;63;ALTA
A_01;NIDO FRANCESCA MORVILLO;VIA PEGASO, 29;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;Asilo;62;ALTA
A_02;NIDO LA COCCINELLA;VIA PIETRO D’ALVISE, 2;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;Asilo;56;ALTA
A_03;NIDO CLAUDIO DOMINO;PIAZZA FERRINI CONTARDO, 14;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;Asilo;67;ALTA
A_04;NIDO MELOGRANO;VIA MONTE SAN CALOGERO, 10;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;Asilo;62;ALTA
A_05;NIDO AQUILONE;VIA MAGGIORE TOSELLI, 85/A;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;Asilo;56;ALTA
A_06;NIDO PETER PAN;VIA BARISANO DA TRANI, 5/D;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;Asilo;58;ALTA
A_07;NIDO FILASTROCCA;VIA TEMBIEN, 1;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;Asilo;61;ALTA
A_08;NIDO LA MIMOSA;VIA DUCA DEGLI ABRUZZI, 12;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;Asilo;56;ALTA
A_09;NIDO PANTERA ROSA;VIA CORTEGIANI, 43;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;Asilo;61;ALTA
A_10;NIDO GIRASOLE;VIA PERPIGNANO, 287;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;Asilo;56;ALTA
A_11;NIDO TOPOLINO;VIA EUGENIO L’EMIRO, 152;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;Asilo;57;ALTA
A_12;NIDO LA LIBELLULA;LARGO A. TESTA, 3;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;Asilo;61;ALTA
A_13;NIDO DRAGO;VIA AURELIO DRAGO, 42;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;Asilo;54;ALTA
A_14;NIDO TOM & JERRY;VIALE LEONARDO DA VINCI, 83;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;Asilo;71;ALTA
A_15;NIDO ERMELLINO;VIA NICOLÒ AZOTI, 35/C;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;Asilo;59;ALTA
A_16;NIDO BRACCIO DI FERRO;VIA S.S. CROCIFISSO, 1;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;Asilo;66;ALTA
A_17;NIDO ALLODOLA;VIA DELL’ALLODOLA, 36;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;Asilo;57;ALTA
A_18;NIDO PAPAVERO;VIA ACIREALE, 1;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;Asilo;59;ALTA
A_19;NIDO PELLICANO;VIA GUIDO ROSSA, 8;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;Asilo;57;ALTA
A_20;NIDO MASIH IQBAL;VIA SALERNITANO, 45;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;Asilo;66;ALTA
A_21;NIDO GRILLO PARLANTE;VIA CADUTI SENZA CROCE, 22;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;Asilo;62;ALTA
A_22;NIDO LIDIA TORNATORE;VIA DONATO BRAMANTE, 17;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;Asilo;65;ALTA
A_23;NIDO LA MALFA;VIA CRISTODULO, 1;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;Asilo;54;ALTA
A_24;NIDO MARICÒ;VIA PELLIGRA, 4;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;Asilo;58;ALTA
A_25;ASILO GALANTE;PIAZZA DANISINNI;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;Asilo;58;ALTA
A_26;NIDO IL FARO;VIA GIUSEPPE PARATORE, 13;SERVIZI PUBBLICI – ISTRUZIONE – ASILO;Asilo;66;ALTA
S_01;SCUOLA S. DOMENICO SAVIO;VIA DELLA RESURREZIONE, 29;SERVIZI PUBBLICI – ISTRUZIONE – SCUOLA DELL’INFANZIA;Scuola;67;ALTA
S_02;SCUOLA BENTIVEGNA;VIA SAN LORENZO, 85;SERVIZI PUBBLICI – ISTRUZIONE – SCUOLA DELL’INFANZIA E PRIMARIA;Scuola;73;ALTA
S_03;SCUOLA COLLODI;VIA BRIUCCIA, 89;SERVIZI PUBBLICI – ISTRUZIONE – SCUOLA DELL’INFANZIA E PRIMARIA;Scuola;62;ALTA
S_04;SCUOLA MALAGUZZI;VIA MONTI IBLEI, 49/53;SERVIZI PUBBLICI – ISTRUZIONE – SCUOLA DELL’INFANZIA;Scuola;61;ALTA
S_05;SCUOLA RIZZO;VIA PAPA SERGIO, 21/B;SERVIZI PUBBLICI - ISTRUZIONE - SCUOLA DELL’INFANZIA E PRIMARIA;Scuola;71;ALTA
S_06;SCUOLA GARZILLI;VIA ISONZO, 7;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA DELL’INFANZIA E PRIMARIA;Scuola;76;ALTA
S_07;SCUOLA ABBA;VIA GIORDANO CALCEDONIO, 1;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA DELL’INFANZIA;Scuola;78;ALTA
S_08;SCUOLA TRIESTE;VIA SAMPOLO, 63;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA DELL’INFANZIA E PRIMARIA;Scuola;73;ALTA
S_09;SCUOLA GENTILI;VIA FRANCESCO LO JACONO, 1;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA SECONDARIA E DI I GRADO;Scuola;62;ALTA
S_10;SCUOLA GARIBALDI;VIA DELLE CROCI, 5;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA SECONDARIA, DI I GRADO, PRIMARIA;Scuola;71;ALTA
S_11;SCUOLA PITRÈ;VIA DAMIANI ALMEYDA, 2;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA PRIMARIA;Scuola;70;ALTA
S_12;SCUOLA DE AMICIS;VIA SERRADIFALCO, 190;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA SECONDARIA E DI I GRADO;Scuola;58;ALTA
