Codice;Nome/Localizzazione;Gruppo;Categoria;Contesto urbano;Elemento;Circoscrizione;Fonte circoscrizione;Latitudine;Longitudine;Punteggio;Livello accessibilita;Rilevanza;Non valutabile;N. foto rilievo
U_01;CIRCOSCRIZIONE VII - DIREZIONE/ORGANI ISTITUZIONALI;Sede amministrativa/istituzionale;SERVIZI PUBBLICI – UFFICI - UFFICIO AMMINISTRATIVO COMUNALE;;;;;38.1707584;13.3189526;58;Parzialmente accessibile;Alta;No;7
U_02;SERVIZIO POLIZIA MUNICIPALE;Sede amministrativa/istituzionale;SERVIZI PUBBLICI – UFFICI - COMANDO POLIZIA LOCALE / PUBBL. SICUREZZA;;;;;38.1611352;13.3145618;61;Parzialmente accessibile;Alta;No;4
U_03;SETTORE SERVIZI ALLE IMPRESE - SUAP;Sede amministrativa/istituzionale;SERVIZI PUBBLICI – UFFICI - SPORTELLO UNICO;;;;;38.1678445;13.3036578;66;Parzialmente inaccessibile;Alta;No;5
U_04;CIMITERO S. M. DEI ROTOLI;Sede amministrativa/istituzionale;SERVIZI PUBBLICI – UFFICI - CIMITERO COMUNALE STATALE;;;;;38.1573791;13.3708818;66;Parzialmente inaccessibile;Alta;No;7
U_05;CIRCOSCRIZIONE VI - SPORTELLO POLIFUNZIONALE;Sede amministrativa/istituzionale;SERVIZI PUBBLICI – UFFICI - SPORTELLO POLIFUNZIONALE DI SERVIZI DEMOGRAFICI E AMMINISTRATIVI;;;;;38.1536378;13.3251196;58;Parzialmente accessibile;Alta;No;10
U_06;STADIO COMUNALE R. BARBERA;Sede amministrativa/istituzionale;SERVIZI PUBBLICI – UFFICI - SEDE SPORTIVA PALERMO F.C.;;;;;38.1304988;13.1798424;67;Parzialmente inaccessibile;Alta;No;7
U_07;POLO TECNICO;Sede amministrativa/istituzionale;SERVIZI PUBBLICI – UFFICI - UFFICIO TECNICO COMUNALE;;;;;38.1503323;13.3349017;69;Parzialmente inaccessibile;Alta;No;7
U_08;CASA COMUNALE - UFFICIO STATALE LOCALE;Sede amministrativa/istituzionale;SERVIZI PUBBLICI – UFFICI -   UFFICIO AMMINISTRATIVO COMUNALE;;;;;38.1450728;13.3552687;71;Parzialmente inaccessibile;Alta;No;4
U_09;CIRCOSCRIZIONE VIII;Sede amministrativa/istituzionale;SERVIZI PUBBLICI – UFFICI - SEDE ISTITUZIONALE E AMMINISTRATIVA CIRCOSCRIZIONALE;;;;;;;66;Parzialmente inaccessibile;Alta;No;7
U_10;UFFICIO IGIENE E SALUTE, POLITICHE ABITATIVE E GIOVANILI;Sede amministrativa/istituzionale;SERVIZI PUBBLICI – UFFICI - UFFICIO DELLA PUBBLICA AMMINISTRAZIONE;;;;;38.138124;13.3631565;61;Parzialmente accessibile;Alta;No;7
